PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,"Payne, Josh",male,50,2,5,1659266,14,F5,C
2,0,3,"Adams, Anthony",female,54,4,0,5130260,21,F5,Q
3,0,1,"Mistry, Glen",female,18,1,3,3903509,63,A54,S
4,1,3,"Chambers, Fiona",male,52,3,2,646391,120,A54,S
5,1,2,"Bishop, Shane",female,12,4,3,2563374,132,C12,Q
6,1,2,"Green, Frank",male,32,4,3,4853294,118,C12,C
7,0,2,"Briggs, Owen",male,34,1,0,5012293,66,C12,C
8,0,1,"Jones, Melissa",female,7,0,2,1322604,72,F5,Q
9,1,2,"Mason, Leanne",male,63,3,4,4097338,82,A54,Q
10,0,1,"Bell, Beth",female,20,0,4,4232036,127,A54,C
11,0,2,"Carroll, Lynda",male,33,0,0,1584434,100,A54,Q
12,1,3,"Graham, Denis",male,21,4,2,5342728,122,A54,S
13,0,2,"Thomas, Karen",female,23,0,1,1035192,124,B98,Q
14,1,2,"Edwards, Jack",female,64,1,1,1845576,24,C12,S
15,0,2,"Hill, Stewart",female,10,4,1,3209706,120,F5,S
16,0,1,"May, Jordan",female,25,0,4,5260535,77,F5,S
17,0,1,"Clark, Wayne",female,45,2,1,5556151,72,C12,C
18,0,3,"Perry, Anna",female,43,3,2,5233891,19,F5,C
19,0,1,"Wood, Natasha",female,56,4,3,4387434,52,A54,Q
20,1,1,"Morton, Sandra",male,56,2,1,2267888,38,C12,Q
21,0,2,"Bates, Scott",female,63,1,2,2802988,103,F5,C
22,1,3,"Harris, Michelle",male,39,0,2,738420,123,B98,S
23,1,3,"Parker, Abdul",male,18,3,0,1089955,12,F5,C
24,0,1,"Stevens, Tracey",male,12,4,5,4520949,146,A54,C
25,1,3,"Scott, Kieran",female,62,3,4,1974267,127,F5,S
26,0,1,"Cooke, Bethan",female,18,1,2,3675799,15,F5,Q
27,0,2,"Rahman, Jean",female,50,2,1,519570,48,F5,C
28,0,2,"Allen, Duncan",female,30,0,4,1774644,113,B98,C
29,1,1,"Brown, Dawn",male,54,3,3,3267724,50,F5,Q
30,0,2,"Marsh, Kenneth",female,20,4,5,1868209,123,C12,C
31,0,1,"Lewis, Laura",female,6,1,1,832523,34,A54,C
32,0,1,"Fraser, Samantha",female,7,4,4,1573708,55,A54,C
33,0,1,"Read, Philip",male,49,1,5,1468203,111,A54,S
34,1,2,"Page, Samantha",female,43,4,3,4726288,58,B98,C
35,0,1,"Clark, Zoe",female,19,3,4,821750,117,B98,S
36,0,3,"Ford, Dean",female,51,0,3,4477204,30,B98,S
37,1,2,"Cole, Anthony",female,21,1,5,4128696,136,B98,S
38,0,3,"Clayton, Harriet",female,13,3,2,4128957,112,B98,S
39,1,1,"O'Sullivan, Donald",male,37,4,2,5830147,136,B98,Q
40,1,2,"Martin, Katy",male,47,2,5,2337591,64,F5,C
41,0,3,"Woods, Leah",female,55,0,5,4054516,59,C12,S
42,1,3,"Tucker, Carol",male,23,2,3,1868639,52,A54,C
43,1,3,"Martin, Dean",male,5,0,0,2759331,18,A54,C
44,1,2,"Fisher, Abbie",female,44,2,1,2196027,82,B98,Q
45,0,1,"Stone, Damian",male,27,3,1,3729664,78,B98,S
46,0,2,"Smith, Sophie",female,57,1,4,3228241,101,B98,Q
47,0,1,"Allen, Shannon",female,47,1,2,5459535,61,C12,C
48,0,1,"Read, Peter",male,10,4,2,5019030,85,C12,Q
49,1,1,"Mason, Alice",male,15,1,0,3222060,76,B98,Q
50,0,2,"Abbott, Brenda",male,62,2,1,3777870,104,C12,C
51,1,1,"Phillips, Harry",male,36,1,4,2066388,138,A54,C
52,1,1,"Ryan, Vanessa",male,35,1,2,2370755,132,A54,C
53,1,3,"Cooper, Leanne",female,57,0,3,2916621,35,F5,Q
54,0,3,"Buckley, Bryan",female,41,3,2,2016432,25,C12,Q
55,1,2,"Robinson, Maurice",male,59,1,3,1975178,129,A54,Q
56,1,1,"Walton, Dennis",male,46,0,5,4328879,122,F5,C
57,0,2,"Todd, Phillip",male,45,4,2,5775764,91,B98,C
58,0,1,"Reynolds, Barry",male,23,3,5,683134,11,A54,C
59,0,2,"Burton, James",female,8,0,3,4782301,86,A54,S
60,1,3,"Bell, June",female,22,2,4,4824365,126,A54,C
